1021203012000193059611731     Linha Reta Centro Automotivo Ltda EPetrolina                     PE87398322442017010120180103331
5422254734000130551  00076464045000014501          000000010000000000500370000000038630000000000000000000000000000000000000000
5422254734000130551  0007646404500001788           000000010000000000083550000000006450000000000000000000000000000000000000000
5422254734000130551  0007646404500001992           000000010000000000084570000000006530000000000000000000000000000000000000000
5422254734000130551  0007646404500001789           000000010000000000061270000000004730000000000000000000000000000000000000000
5422254734000130551  0007646404500001120           000000020000000000009280000000000720000000000000000000000000000000000000000
5422254734000130551  00076464045000013241          000000020000000000649840000000050160000000000000000000000000000000000000000
5422254734000130551  00076564045000011             000000020000000000556000000000000000000000000000000000000000000000000000000
5407063698000133551  0007666404500001593           000000010000000000493000000000085600000000000000000000000000000000000000000
5416912179000193551  00076754055000014504          000000010000000000780000000000000000000000000000000000000000000000000000000
5416912179000193551  00076754055000014343          000000080000000000258000000000000000000000000000000000000000000000000000000
5425630302000506551  00076952025000014508          000000300000000000261300000000000000000000000000000000000000000000000000000
5411435633000149551  0007705405500001230           000000020000000000140000000000000000000000000000000000000000000000000000000
5411435633000149551  00077054055000012939          000000040000000000100000000000000000000000000000000000000000000000000000000
5411435633000149551  00077054055000011244          000000010000000000020960000000000000000000000000000000000000000000000000000
5411435633000149551  00077054055000012094          000000010000000000042000000000000000000000000000000000000000000000000000000
5411435633000149551  00077054055000011091          000000010000000000031830000000000000000000000000000000000000000000000000000
5411435633000149551  0007705405500001572           000000043000000000120400000000000000000000000000000000000000000000000000000
5416912179000193551  00077154055000013419          000000010000000000061770000000000000000000000000000000000000000000000000000
5416912179000193551  0007715405500001572           000000044000000000154000000000000000000000000000000000000000000000000000000
5416912179000193551  00077154055000012062          000000010000000000018920000000000000000000000000000000000000000000000000000
5422254734000130551  00077264045000013824          000000020000000000180000000000000000000000000000000000000000000000000000000
5422254734000130551  00077264045000013821          000000020000000000210000000000000000000000000000000000000000000000000000000
5422254734000130551  00077264045000014536          000000010000000000098000000000000000000000000000000000000000000000000000000
5422254734000130551  0007726404500001120           000000040000000000020000000000000000000000000000000000000000000000000000000
5422254734000130551  0007726404500001290           000000040000000001196000000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000014540          000000010000000000021580000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000014544          000000010000000000272000000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000014542          000000010000000000119000000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000011917          000000020000000000036000000000000000000000000000000000000000000000000000000
5411564368000441551  0007735405500001636           000000020000000000060360000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000011102          000000010000000000066000000000000000000000000000000000000000000000000000000
5411564368000441551  0007735405500001820           000000010000000000115170000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000011231          000000030000000000090000000000000000000000000000000000000000000000000000000
5411564368000441551  00077354055000012062          000000010000000000018920000000000000000000000000000000000000000000000000000
5411564368000441551  0007735405500001636           000000020000000000060360000000000000000000000000000000000000000000000000000
5400399857002846551  00077464045000013337          000000010000000000488000000000000000000000000000000000000000000000000000000
5407063698000133551  00077564045000011244          000000010000000000020960000000000000000000000000000000000000000000000000000
